xmin,ymin,xmax,ymax
71.234018,17.725738,87.46043374999999,27.116536,0
87.46043374999999,17.725738,95.573641625,22.421137,0
95.573641625,17.725738,99.6302455625,20.0734375,0
99.6302455625,17.725738,103.6868495,20.0734375,0
95.573641625,20.0734375,99.6302455625,22.421137,48
99.6302455625,20.0734375,101.65854753125,21.24728725,0
101.65854753125,20.0734375,103.6868495,21.24728725,9
99.6302455625,21.24728725,100.64439654687499,21.834212125,6
100.64439654687499,21.24728725,101.65854753125,21.834212125,98
99.6302455625,21.834212125,100.64439654687499,22.421137,91
100.64439654687499,21.834212125,100.89793429296874,21.98094334375,51
100.89793429296874,21.834212125,101.1514720390625,21.98094334375,17
100.64439654687499,21.98094334375,100.89793429296874,22.1276745625,409
100.89793429296874,21.98094334375,101.1514720390625,22.1276745625,8
101.1514720390625,21.834212125,101.65854753125,22.1276745625,24
100.64439654687499,22.1276745625,101.1514720390625,22.421137,4
101.1514720390625,22.1276745625,101.65854753125,22.421137,1
101.65854753125,21.24728725,103.6868495,22.421137,6
87.46043374999999,22.421137,95.573641625,27.116536,0
95.573641625,22.421137,97.60194359375,23.59498675,0
97.60194359375,22.421137,99.6302455625,23.59498675,146
95.573641625,23.59498675,97.60194359375,24.7688365,3
97.60194359375,23.59498675,98.616094578125,24.181911624999998,351
98.616094578125,23.59498675,99.6302455625,24.181911624999998,128
97.60194359375,24.181911624999998,98.10901908593749,24.4753740625,86
98.10901908593749,24.181911624999998,98.616094578125,24.4753740625,373
97.60194359375,24.4753740625,98.10901908593749,24.7688365,196
98.10901908593749,24.4753740625,98.616094578125,24.7688365,18
98.616094578125,24.181911624999998,99.6302455625,24.7688365,185
99.6302455625,22.421137,100.64439654687499,23.008061875000003,107
100.64439654687499,22.421137,101.1514720390625,22.714599437500002,10
101.1514720390625,22.421137,101.65854753125,22.714599437500002,3
100.64439654687499,22.714599437500002,100.89793429296874,22.861330656250004,2
100.89793429296874,22.714599437500002,101.02470316601563,22.787965046875,324
101.02470316601563,22.714599437500002,101.1514720390625,22.787965046875,3
100.89793429296874,22.787965046875,101.02470316601563,22.861330656250004,220
101.02470316601563,22.787965046875,101.1514720390625,22.861330656250004,0
100.64439654687499,22.861330656250004,100.89793429296874,23.008061875000003,1
100.89793429296874,22.861330656250004,101.1514720390625,23.008061875000003,4
101.1514720390625,22.714599437500002,101.65854753125,23.008061875000003,1
99.6302455625,23.008061875000003,100.64439654687499,23.59498675,60
100.64439654687499,23.008061875000003,101.65854753125,23.59498675,166
101.65854753125,22.421137,102.672698515625,23.008061875000003,49
102.672698515625,22.421137,103.6868495,23.008061875000003,65
101.65854753125,23.008061875000003,102.672698515625,23.59498675,109
102.672698515625,23.008061875000003,103.1797740078125,23.3015243125,38
103.1797740078125,23.008061875000003,103.6868495,23.3015243125,10
